lat,lon,addr:street,addr:housenumber,addr:postcode,addr:city
5816737.93842549,683010.1934545788,,,,
5812570.422061133,684591.944363026,Place du Bourg-de-Four,1,1204,Genève
5812594.020299872,684515.7359797712,,,,
5812735.251408754,684371.2211080847,,,,
5812534.096465862,684402.8648067303,,,,
5812611.195374547,684317.7527759502,,,,
5812411.931504183,684396.3475212636,,,,
5812470.341685875,684369.3335347591,,,,
5812491.9964698795,684357.6301909928,,,,
5812323.287808517,684765.4504819384,Rue Charles-Galland,2,1205,Genève
5812563.256586931,684288.9250166963,,,,
5812588.909449302,684252.0369617711,Rue de l'Hôtel-de-Ville,2,1211,Genève
5812745.547321208,684207.7968901021,,,,
5812671.186646587,684089.0331097997,,,,
5811428.136200072,686604.4034072431,,,,
5811466.0853237575,686651.1842054236,,,,
5812721.204677132,684084.2884482375,,,,
5812801.616932357,684281.9919561715,,,,
5812818.625605974,684241.0930662534,,,,
5812799.476014841,684123.1694237333,,,,
5812951.345617167,684557.0111734512,,,,
5812976.0372614125,684459.4544522067,,,,
5812736.190610241,681909.4220810476,,,,
5811647.515596565,683493.2116590864,Boulevard du Pont-d'Arve,40,1205,Genève
5813943.016416471,682359.5620110026,Rue de Lyon,58,1201,Genève
5814584.9167000605,681066.3639910856,,,,
5813556.180515535,685843.2091040205,,,,
5811243.944672475,684403.2852912041,Boulevard de la Cluse,40,1205,Genève
5811473.74719848,684482.5077720123,rue Gabrielle-Perret-Gentil,4,,
5811099.936849344,682978.1712219608,,,,
5815018.541275773,682778.8517520287,,,,
5814736.741927719,683577.1662359216,,,,
5816370.652946513,682951.6036792953,,,,
5811497.691451564,682321.7882333694,,,,
5811240.841343777,686242.3678116341,,,,
5811546.407808407,686230.9091469328,,,,
5812749.422288081,684427.7645635925,,,,
5810807.474725109,682584.8633643305,,,,
5815897.485216514,683916.869375627,Chemin Eugène-Rigot,2,1202,Genève
5817265.687638895,683766.8230593274,,,,
5814866.137482906,682731.3610360122,,,,
5814493.351128392,682419.2309664298,Rue Henri-Veyrassat,5;7,,Genève
5813942.39767573,682262.718259141,,,,
5814357.71148723,682144.6754691624,Avenue Wendt,42-44,1203,Genève
5814490.031136978,681891.5204239215,,,,
5817089.868439308,683122.183561305,,,,
5814014.535854689,681554.0906019188,Rue de Lyon,118,1203,Genève
5812268.490508042,684089.4254537419,Promenade des Bastions,1,1205,Genève
5817165.8402717775,682879.3458889534,,,,Le Grand-Saconnex
5816544.724826641,683372.8189135458,Avenue de la Paix,10,1202,Genève
5816191.357733761,684199.3071282113,Avenue de la Paix,7 bis,1211,
5811573.390542188,682723.4113215008,,,,
5811692.630532334,682806.7425996759,Pont Hans-Wilsdorf,4,1227,Les Acacias
5811864.497332196,682465.649992638,,,,
5811868.005902562,682602.9477355686,,,,
5812378.865672955,683976.6282227046,,,,
5812596.848659569,683780.2363514998,Place de Neuve,5,1204,Genève
5812738.751898763,683892.1903833582,Place de Neuve,,1204,
5812743.744427219,683796.3085863743,,,,
5813196.921519033,683184.1033325354,Place des Volontaires,2,1204,Genève
5813347.843462153,684039.7403318175,,,,
5816311.617579184,684575.3310598494,Rue de Lausanne,154,1202,Genève
5815186.520947942,684085.7513605538,,,,
5815773.335034598,683628.2273343422,Rue de Montbrillant,94,,
5816922.544388122,683200.5818731998,Avenue de la Paix,19,1202,Genève
5816033.811967323,681165.7363318763,,,,
5815984.659090173,681219.6832090444,,,,
5816040.712730867,681283.355015259,,,,
5815908.467076358,681343.2951943141,,,,
5815947.446219786,681260.8059183847,,,,
5815796.708136524,680792.1748466588,,,,
5815727.743076145,680876.2123440197,,,,
5815574.788707756,680740.337878892,,18,,
5816382.490345121,681473.9599391301,,,,
5816252.456180555,681640.2186856108,,,,
5813697.918585867,686765.3798366674,Quai Gustave-Ador,82,1211,Genève
5811618.492856772,682895.9725086542,,,,
5812528.0364619,681442.3248732802,,,,
5812708.553375614,681777.9646889943,Avenue de la Jonction,,,Genève
5811144.325178824,684467.3605251497,Avenue de la Roseraie,53,1205,Genève
5810907.281783055,684354.4278802545,Rue Willy-Donze,6,1205,Genève
5811039.14197887,684415.8505899186,Rue Alcide-Jentzer,22,1205,Genève
5811429.408368185,684490.720564795,Rue Gabrielle-Perret-Gentil,4,1205,
5812240.122843413,681899.2333020279,,,,
5809357.638642546,685231.2257431122,,,,
5809651.310559121,685220.1680430926,,,,
5809223.474241955,685482.0840858852,,,,
5810429.828328651,684397.8998859263,,,,
5810437.65872333,684486.2206477701,,,,
5810468.9896223005,684414.6408024806,,,,
5812153.597777331,681712.1833547164,Chemin de la Bâtie,10,,Petit-Lancy
5809272.279308671,685389.2987708297,,,,
5809203.490727621,685361.4006671079,,,,
5809381.421239983,685636.9772489591,,,,
5812761.336587614,681414.1507232313,,,,
5813106.140698189,681650.858757498,,,,
5814167.298823788,683765.3633759174,,,,
5814672.727000667,682120.9709759338,,,,
5816689.28005083,682223.6038071557,,,,
5814643.658799344,683794.0752706707,,,,
5815079.126239262,683575.3722017357,Rue du Vidollet,3,,Genève
5815660.087232968,682817.0785069588,,,,
5815156.889022412,683050.7754147989,Rue de Vermont,18,,Genève
5815285.699392921,682720.3114066303,,,,
5815008.173731846,683138.3540381553,Rue du Vidollet,17,,Genève
5815609.575234321,682708.5382212561,Chemin des Colombettes,11,,
5814586.110783878,682909.9187250886,,,,
5815931.163001383,682803.9876591563,,,,
5815906.252720278,682860.3684441752,,,,
5815808.728372844,682852.3892487277,,,,
5815736.180637863,682225.2971436853,Rue de Moillebeau,33,1209,Genève
5815559.334172967,681985.0168821721,,,,
5815129.222166245,682919.4085935488,Rue de Vermont,23,,Genève
5815688.299972646,682620.1535994804,Rue Maurice-Braillard,8,,Genève
5815643.3099980885,683271.068007435,,,,
5815899.546052426,682293.5538024629,Chemin Docteur Adolphe-Pasteur,8,,Genève
5814909.7923250105,683599.7632977274,Rue de Montbrillant,33,,Genève
5815912.489982103,682213.2320420688,Chemin Docteur Adolphe-Pasteur,10,1209,Genève
5815651.069127923,682657.1708116379,Rue Maurice-Braillard,4,,Genève
5815030.208221622,683300.8199361013,Rue du Vidollet,11,,Genève
5815726.198604609,682575.6809923835,Rue Maurice-Braillard,18,,Genève
5815756.564871636,682533.2738264826,Rue Maurice-Braillard,28,,Genève
5815189.04537402,683110.3538053054,Rue du Vidollet,27,,Genève
5814931.7678729305,683528.8694581429,Rue Elisabeth-Baulacre,20,,Genève
5816007.660198841,682174.3117817269,Chemin Docteur Adolphe-Pasteur,14,,Genève
5815255.885512431,683260.5746416657,,,,
5815014.882483046,683440.6197627553,Rue Elisabeth-Baulacre,11,1202,Genève
5816057.811257625,682825.1089037003,,,,
5816368.515987658,682983.125412411,,,,
5815091.785901176,683350.4576139395,Rue du Vidollet,9bis,,Genève
5816274.136099654,683934.0845074393,,,,
5816833.94371711,683404.1601790356,,,,
5816162.761122559,683424.55917407,,,,
5815222.20894333,682416.0307641781,,,,
5815290.311546907,682266.6868548505,,,,Genève
5815942.43574608,683071.6901580481,Chemin des Colombettes,32,,Genève
5815892.524824044,682776.158977582,,,,
5817079.5047752755,683546.0767504915,,,,
5817066.229968549,683915.1951253456,,,,
5816205.213369908,683626.7075229168,,,,
5817195.844001206,683455.9517211274,,,,
5817267.466064017,683916.3705827463,Chemin de l'Impératrice,3,1202,Genève
5815498.036793807,683375.322642837,,46,,
5814835.53541154,683238.0400103341,,,,
5815278.921107342,684008.6502616459,,,,
5814900.111501929,683808.1400927107,,,,
5814857.707384928,683792.4603706205,,,,
5815223.695871598,684009.7496149712,,,,
5815306.429674009,684007.9058014919,,,,
5814970.315711761,683832.4874141958,,,,
5815913.927662048,681558.5568493637,avenue Trembley,12,,
5816069.765181677,683556.0558423591,,,,
5815274.477965861,683130.5976336892,,,,
5815475.322445572,683563.6621242317,Rue de Montbrillant,57,1202,Genève
5812463.207667584,685107.2900576955,,,,
5812462.955174949,685064.0922689547,,,,
5816501.254197348,683286.8143758827,,,,
5816736.308145842,683252.406866269,,,,
5816726.395102331,683317.3287560097,,,,
5812168.286094362,685165.4783522002,,,,
5812231.793794029,685054.0243214398,,,,
5812349.846634911,684982.0924395102,,,,
5812512.16716943,685158.8081045331,Rue des Glacis-de-Rive,12,,Genève
5812573.319941003,685178.1357755136,Rue des Glacis-de-Rive,6,1211,Genève 3
5812376.069289811,684964.8166652471,,,,
5812408.845258378,684993.2054229324,,,,
5812244.368660072,685607.7318911309,,,,
5812173.234812548,685736.799787637,,,,
5812348.96804354,685700.3512121683,,,,
5812355.150227812,684948.0909706365,,,,
5812126.396202817,685751.0780958151,,,,
5812254.75547917,685713.1524214785,,,,
5812199.848612706,685689.6747591989,Route de Malagnou,19a,,Genève
5812276.598768302,685037.5032900363,Rue Rodolphe-Toepffer,9,,Genève
5812197.160211317,685025.5956581277,,,,
5812451.076703593,685541.543085305,,,,
5811918.21201565,685747.863976628,,,,
5812056.331053438,685502.186536103,,,,
5812249.5842101155,685858.9650935706,,,,
5812305.1989704445,685552.2133672591,,,,
5812051.791295788,686142.583523445,,,,
5812121.848328152,685955.0437767352,,,,
5812020.959692884,685708.2659961132,,,,
5812602.1141311675,685278.1562765774,,,,
5812575.839846001,685055.258567981,,,,
5811969.868910707,685666.9574264552,Route de Malagnou,30,,Genève
5812379.934053348,685228.6064184293,Rue de l'Est,6,1207,Genève
5811877.502073384,685835.13714411,,,,
5812256.030105568,684885.0264933053,,,,
5812400.1602071645,685207.3421798019,Rue de l'Est,4,1207,Genève
5812153.7109510405,685235.1046663859,,,,
5812238.9607542055,684646.2511077685,,,,
5812556.285955698,685468.7459757476,,,,
5812575.2139488775,685226.9072941279,,,,
5812015.272403421,685591.931362444,,,,
5812115.884077344,685428.6992438113,,,,
5812224.934850563,684917.0811194287,,,,
5812504.360491436,685647.5807478599,,,,
5812228.768968671,684989.6847636965,,,,
5812124.031125639,685803.0574581398,,,,
5812481.510752193,685331.3220764317,,,,
5813165.721485162,684732.7464910707,Promenade du Lac,2,1204,Genève
5813148.443122898,684784.8075289115,,,,
5812543.114930001,684854.5597359639,,,,
5812333.376927086,684371.054351115,,,,
5812236.321545685,684453.6398476411,,,,
5812235.668945605,684378.7110163278,,,,
5812621.63073357,684538.6952092046,,,,
5812341.277532507,684304.5410636419,,,,
5812164.488976158,684452.372703366,,,,
5812376.313482445,684350.6918878446,,,,
5812685.231154748,684770.9105587436,,,,
5812137.218494291,684835.3416244615,,,,
5812172.527117458,684801.0319600434,,,,
5812566.0888873935,684660.2050647722,,,,
5812567.278022114,684701.2901796344,Rue Théodore-De-Bèze,4,1204,Genève
5812111.049301641,685109.7286169529,Rue Charles Galland,15,1206,Genève
5812291.178237236,684929.7836133706,,,,
5812018.867198643,684785.380567184,,,,
5812023.4116163105,685018.0322963066,,,,
5812432.740686614,684520.4511568206,,,,
5813616.08602784,683510.3132455344,,,,
5813562.649860237,683357.9201294465,,,,
5813572.918337484,683412.9513478851,,,,
5813369.148805294,683148.5108637199,,,,
5813626.160918463,683435.8195708611,,,,
5813458.455503837,683273.8794039525,,,,
5813455.769560009,683488.0870853751,,,,
5813536.742517535,682795.3761681049,Rue des Délices,12,,Genève
5813292.370095531,682781.2668305266,,,,
5813463.1623438485,682885.1235764109,,,,
5813161.5247583,682844.9845387598,,,,
5813524.640568204,683416.9168185977,,,,
5812850.276935945,683450.9300288095,,,,
5812674.077108427,685496.140284713,,,,
5812696.250464899,684428.3062355248,,,,
5812544.3552122405,683675.6226736065,,,,
5812679.874796757,684476.3541460506,,,,
5812847.500632777,683641.1040228197,,,,
5812664.184270863,683293.0382181563,,,,
5812861.952995997,683378.7548211386,Rue de la Synagogue,34,,Genève
5812896.667339007,684826.86057665,,,,
5812696.526611585,685279.7159692945,,,,
5812784.741031097,683388.8388240767,Rue des Marbriers,3,,
5812974.436494955,683546.5167440969,,,,
5812658.267735027,685552.5584662629,,,,
5812766.659643981,685054.5892654367,,,,
5812696.133814891,685331.4351331126,Rue du Parc,3bis,,Genève
5812639.5854344545,683446.2536934067,,,,
5812712.066167142,683499.9912932514,,,,
5812630.802449383,683669.404001609,,,,
5812789.764960058,684539.8193074007,Rue de la Madeleine,15,1204,Genève
5812777.440994132,685222.7488281959,,,,
5812796.134434316,683494.4674766795,,,,
5812919.840266119,684925.9466768606,,,,
5812935.366416027,683548.916357186,,,,
5812823.849711413,685236.6835516808,,,,
5814724.247283668,681457.8589698985,,,,
5814652.943534231,681667.8347992686,Avenue Ernest-Pictet,40,,Genève
5814701.215886123,681323.8912121991,Cité Vieusseux,1,1203,Genève
5814886.340375904,681119.2393967729,Avenue Edmond-Vaucher,50,,Genève
5814653.502768382,681394.971477091,Cité Vieusseux,2,,Genève
5814650.73472131,681341.4459470737,,,,
5814759.024410149,681249.6248371397,Route des Franchises,46,,Genève
5814719.206553022,681180.1948717932,,,,
5814648.577713009,681516.9708371955,Cité Vieusseux,18,,Genève
5814947.612198164,681200.8782903425,,,,
5814044.821511593,681292.5550494151,Avenue de Châtelaine,12,,Genève
5813805.831044273,681825.4906144694,Rue de Lyon,85,,Genève
5813902.754671553,682021.4044926577,Avenue Wendt,5,,Genève
5813598.515270061,681858.6538963462,Avenue d'Aïre,9,,
5813706.623554441,681620.2958880959,Promenade de l'Europe,27,,Genève
5813861.272381994,681903.240646467,,,,
5813858.933455312,681943.0699646268,rue Joseph Pasquier,19,,Genève
5814331.010928562,681824.4027160029,Avenue Soret,32,,Genève
5814456.181969074,681251.7786244529,,,,
5813642.692535909,682103.8355617657,,,,
5813878.441486938,681864.7944895888,Rue Guye,2,,Genève
5813632.1602885695,681891.6265540152,,,1203,
5814114.422930745,681855.77201362,Rue de Bourgogne,6e,,Genève
5813867.339770439,681981.1286200959,Rue de Lyon,84,,Genève
5813582.992400355,682022.965859116,Rue Charles-Giron,22,1203,
5814456.619200527,681679.844660836,,,,
5813666.740705348,681584.8325354093,Avenue d'Aïre,38,,Genève
5813544.089617048,681684.3280461134,Avenue De-Gallatin,17,1203,Genève
5814056.92280616,681253.1820067081,Avenue de Châtelaine,16,,Genève
5813774.97929335,681947.9379289295,Rue de Lyon,75,,Genève
5813668.140796195,681503.9181130962,Avenue d'Aïre,42,,Genève
5814114.253795584,681275.4517374099,Route des Franchises,3a,,Genève
5813821.471636847,681474.3725827642,Promenade de l'Europe,35,,Genève
5814427.6914273,681234.8375781022,Route des Franchises,19,,Genève
5814059.609994482,681761.2521474666,Rue du Dauphiné,12,,Genève
5814467.344455364,681776.6812022275,Avenue Ernest-Pictet,31,,Genève
5813896.048055177,681788.0378400092,Rue Guye,1,,Genève
5814366.372758388,681778.2286385638,Rue Soubeyran,4ter,,Genève
5813454.9962531505,682305.623063485,,,,
5813672.201670699,682321.9854804003,,,,
5813550.278475052,682523.0276375798,Rue de la Dôle,4,,Genève
5813646.178700615,681967.5557934592,,,,
5813514.715996072,682187.3111461076,Rue De-Miléant,12,,Genève
5813711.549095253,682403.5447001194,Rue Daubin,33,,Genève
5813809.904476786,682427.626775343,,,,
5813487.09203146,681909.2319816378,Avenue des Tilleuls,32,,Genève
5813628.145498973,682498.6584629277,Rue Henri-Frédéric-Amiel,13,,Genève
5813551.219585716,682121.1543592929,Rue Jorge-Luis-Borgès,2,,Genève
5813520.76809178,682044.3552902234,Rue Charles-Giron,31,,Genève
5813401.691643065,682255.997125333,,,,
5813406.391245937,682136.6045946422,Rue De-Miléant,6,,Genève
5813746.499605775,682102.2281050219,,,,
5813697.794558785,682196.779682776,Rue des Charmilles,36,,Genève
5813478.852804323,682504.087919556,Rue des Charmilles,12,,Genève
5813599.390305442,682079.4745205916,,,,
5813542.090805249,681975.9212888505,,,,
5813434.358069959,682039.600238399,Avenue des Tilleuls,24,,Genève
5813637.990484448,682237.6363583843,Rue des Charmilles,28,,Genève
5813606.748582461,682777.7163528928,,,,
5813540.744317381,682922.2042585682,Rue Samuel-Constant,1,,Genève
5813461.019808622,683762.4713097375,,,,
5813757.946537602,682778.4857336617,Rue de Lyon,49,1203,
5813498.956962457,683612.0040115203,,,,
5813645.944702977,683612.6206654896,,,,
5813825.930151451,682738.1826966577,,,,
5813791.023329537,683637.7285911221,Boulevard James-Fazy,20,,
5813665.360092069,682657.3621129091,,,,
5813645.054384547,683305.9726324478,,,,
5813739.099639958,682519.3204463205,Rue de la Dôle,17,,Genève
5813733.102466401,683604.5689261603,,,,
5813753.455358095,682894.8486887376,,,,
5813393.33459947,683750.4602647745,,,,
5813750.020346172,683689.7269260953,Place Lise-Girardin,3,,
5813677.603277251,682994.642521749,Rue de l'Encyclopédie,6bis,,Genève
5813481.312708385,682528.5775221139,Rue des Charmilles,10,,Genève
5813792.596876129,683056.8172444832,,,,
5813628.880228247,683676.8940770671,,,,
5813641.12131704,682706.6670594588,Rue Cavour,22,,Genève
5813442.669552801,682603.5875889218,,,,
5813715.947793205,682840.134550457,Rue des Délices,27,,Genève
5813702.538092978,682479.2452235391,Rue Henri-Frédéric-Amiel,20,,Genève
5813576.984268866,683557.3011395676,Rue Necker,2,,
5813648.9673258,682567.362508011,Rue de la Dôle,10,,Genève
5813688.279778622,683133.8622813234,,,,
5813623.714277578,682943.4339476742,Rue Madame-De-Staël,3,,Genève
5813684.198035409,682763.9106288237,Rue des Délices,25,,Genève
5812773.58193086,685658.0826384063,,,,
5812939.059783514,684854.8720369207,,,,
5812977.187702947,684747.6709351749,,,,
5812845.920030364,685479.6572522655,,,,
5812866.46645783,685322.7136760098,,,,
5812943.859274491,684731.5578418737,,,,
5813127.00289328,685209.1710512213,,,,
5812876.058030652,685267.7415094696,,,,
5812917.537984589,685127.9481519758,,,,
5812609.520456316,685653.0114850968,,,,
5812877.157610378,684630.7009566932,,,,
5813001.755656209,684849.2078329514,,,,
5812981.504127623,685795.9164641488,Rue de Montchoisy,18,1207,Genève
5812506.664094285,685423.4813340141,,,,
5812582.518560196,685347.2919377361,,,,
5812730.161767129,685810.9390319356,place de Jargonnant,7,,
