nom commune,latitude,longitude,consommation
Ambilly,46.1961567042,6.22429975401,829.329
Annemasse,46.1909730986,6.24250704322,2611.195
Archamps,46.1222282115,6.13971386615,5937.208
Beaumont,43.9377749989,0.290830760764,265.587
Beaumont,44.5426503498,4.17181045381,265.587
Beaumont,45.3118081089,3.33070531118,265.587
Beaumont,45.4239866507,1.79091632858,265.587
Beaumont,45.7498745868,3.08667875235,265.587
Beaumont,46.0976635697,6.12074518078,265.587
Beaumont,47.9149271297,3.55727569805,265.587
Beaumont,48.8517198736,5.78823029157,265.587
Bernex,46.3566554818,6.69898825662,286.0
Bossey,46.1500584591,6.17275446607,234.983
Cartigny,49.9086884167,3.0172741613,30.0
Chevrier,46.1120536918,5.91128750728,518.608
Chênex,46.1028404412,5.9906719812,76.271
Collonges-sous-Salève,46.1362755824,6.16071125763,1186.653
Dingy-en-Vuache,46.0886545538,5.94974416216,5.448
Feigères,46.1104409048,6.07310572582,608.136
Jonzier-Épagny,46.0765856703,5.98885636261,187.946
Neydens,46.118085274,6.10360630627,952.1210000000001
Saint-Julien-en-Genevois,46.139365545,6.07881171095,6255.88
Savigny,45.8200944219,4.56587314617,37.357
Savigny,46.0694979288,5.95170767195,37.357
Savigny,47.7178107179,5.64399328349,37.357
Savigny,48.3555922592,6.21861150216,37.357
Savigny,49.0591765811,-1.32787039859,37.357
Valleiry,46.1152145208,5.97022697234,678.369
Vulbens,46.1094500847,5.9361888099,2093.743
